x,y,y2
1.000000e+00,1.000000e+00,1.168294e+00
1.029029e+00,1.014411e+00,1.188240e+00
1.058058e+00,1.028619e+00,1.207888e+00
1.087087e+00,1.042635e+00,1.227239e+00
1.116116e+00,1.056464e+00,1.246290e+00
1.145145e+00,1.070115e+00,1.265040e+00
1.174174e+00,1.083593e+00,1.283488e+00
1.203203e+00,1.096906e+00,1.301632e+00
1.232232e+00,1.110060e+00,1.319468e+00
1.261261e+00,1.123059e+00,1.336996e+00
1.290290e+00,1.135909e+00,1.354212e+00
1.319319e+00,1.148616e+00,1.371114e+00
1.348348e+00,1.161184e+00,1.387699e+00
1.377377e+00,1.173617e+00,1.403964e+00
1.406406e+00,1.185920e+00,1.419906e+00
1.435435e+00,1.198097e+00,1.435524e+00
1.464464e+00,1.210151e+00,1.450814e+00
1.493493e+00,1.222086e+00,1.465773e+00
1.522523e+00,1.233905e+00,1.480399e+00
1.551552e+00,1.245613e+00,1.494689e+00
1.580581e+00,1.257211e+00,1.508642e+00
1.609610e+00,1.268704e+00,1.522254e+00
1.638639e+00,1.280093e+00,1.535523e+00
1.667668e+00,1.291382e+00,1.548448e+00
1.696697e+00,1.302573e+00,1.561026e+00
1.725726e+00,1.313669e+00,1.573256e+00
1.754755e+00,1.324672e+00,1.585136e+00
1.783784e+00,1.335584e+00,1.596665e+00
1.812813e+00,1.346407e+00,1.607841e+00
1.841842e+00,1.357145e+00,1.618664e+00
1.870871e+00,1.367798e+00,1.629133e+00
1.899900e+00,1.378369e+00,1.639248e+00
1.928929e+00,1.388859e+00,1.649007e+00
1.957958e+00,1.399271e+00,1.658411e+00
1.986987e+00,1.409605e+00,1.667460e+00
2.016016e+00,1.419865e+00,1.676155e+00
2.045045e+00,1.430051e+00,1.684496e+00
2.074074e+00,1.440165e+00,1.692483e+00
2.103103e+00,1.450208e+00,1.700119e+00
2.132132e+00,1.460182e+00,1.707404e+00
2.161161e+00,1.470089e+00,1.714340e+00
2.190190e+00,1.479929e+00,1.720930e+00
2.219219e+00,1.489704e+00,1.727174e+00
2.248248e+00,1.499416e+00,1.733077e+00
2.277277e+00,1.509065e+00,1.738639e+00
2.306306e+00,1.518653e+00,1.743866e+00
2.335335e+00,1.528180e+00,1.748758e+00
2.364364e+00,1.537649e+00,1.753322e+00
2.393393e+00,1.547060e+00,1.757559e+00
2.422422e+00,1.556413e+00,1.761474e+00
2.451451e+00,1.565711e+00,1.765072e+00
2.480480e+00,1.574954e+00,1.768357e+00
2.509510e+00,1.584143e+00,1.771334e+00
2.538539e+00,1.593279e+00,1.774008e+00
2.567568e+00,1.602363e+00,1.776385e+00
2.596597e+00,1.611396e+00,1.778470e+00
2.625626e+00,1.620378e+00,1.780269e+00
2.654655e+00,1.629311e+00,1.781789e+00
2.683684e+00,1.638195e+00,1.783036e+00
2.712713e+00,1.647031e+00,1.784016e+00
2.741742e+00,1.655821e+00,1.784736e+00
2.770771e+00,1.664563e+00,1.785205e+00
2.799800e+00,1.673260e+00,1.785428e+00
2.828829e+00,1.681912e+00,1.785414e+00
2.857858e+00,1.690520e+00,1.785170e+00
2.886887e+00,1.699084e+00,1.784705e+00
2.915916e+00,1.707605e+00,1.784026e+00
2.944945e+00,1.716084e+00,1.783143e+00
2.973974e+00,1.724521e+00,1.782063e+00
3.003003e+00,1.732917e+00,1.780797e+00
3.032032e+00,1.741273e+00,1.779352e+00
3.061061e+00,1.749589e+00,1.777738e+00
3.090090e+00,1.757865e+00,1.775964e+00
3.119119e+00,1.766103e+00,1.774040e+00
3.148148e+00,1.774302e+00,1.771976e+00
3.177177e+00,1.782464e+00,1.769781e+00
3.206206e+00,1.790588e+00,1.767465e+00
3.235235e+00,1.798676e+00,1.765039e+00
3.264264e+00,1.806728e+00,1.762512e+00
3.293293e+00,1.814743e+00,1.759895e+00
3.322322e+00,1.822724e+00,1.757198e+00
3.351351e+00,1.830670e+00,1.754432e+00
3.380380e+00,1.838581e+00,1.751607e+00
3.409409e+00,1.846459e+00,1.748734e+00
3.438438e+00,1.854303e+00,1.745824e+00
3.467467e+00,1.862114e+00,1.742887e+00
3.496496e+00,1.869892e+00,1.739935e+00
3.525526e+00,1.877638e+00,1.736977e+00
